model_id,original_status,http_status,original_error,primary_failure_reason,capabilities,api_mode,is_batch,is_image_generation,is_video_generation,current_test_endpoint,expected_endpoint,real_failure,recommend_hide,recommend_retest,notes
kwaipilot/kat-coder-pro-v2.5:free,FAILED,400,"模型 kwaipilot/kat-coder-pro-v2.5:free 的价格未配置。请前往「系统设置 → 运营设置」开启自用模式，或在「系统设置 → 分组与模型定价设置」中为该模型配置价格；Model kwaipilot/kat-coder-pro-v2.5:free price not configured. Go to System Settings → Operation Settings to enable self-use mode, or configure the model price in System Settings → Group & Model Pricing. (request id: 202608110921109228520468268d9d6sdKSw653)",UNSUPPORTED_BY_SDKMAX,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,"Model is exposed to the test list but SDKMAX pricing is not configured, so the SDKMAX call path rejects it before a normal successful response."
liquid/lfm-2-24b-a2b,FAILED,404,No endpoints found for liquid/lfm-2-24b-a2b.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
liquid/lfm-2.5-1.2b-instruct:free,FAILED,404,No endpoints found for liquid/lfm-2.5-1.2b-instruct:free.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
liquid/lfm-2.5-1.2b-thinking:free,FAILED,404,No endpoints found for liquid/lfm-2.5-1.2b-thinking:free.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
mancer/weaver,FAILED,400,"Provider returned error ({""raw"":""{\""error\"":{\""data\"":null,\""message\"":\""'respond_as' is not supported for this model!\"",\""type\"":\""BAD_PARAMETERS\""}}\n"",""provider_name"":""Mancer 2"",""is_byok"":false})",WRONG_PAYLOAD,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,false,true,true,"Failure is caused by test payload/parameter choice, not proven model unavailability."
meta-llama/llama-3-8b-instruct,FAILED,404,No endpoints found for meta-llama/llama-3-8b-instruct.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
meta-llama/llama-3.2-11b-vision-instruct,FAILED,404,No endpoints found for meta-llama/llama-3.2-11b-vision-instruct.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
meta-llama/llama-3.2-3b-instruct:free,FAILED,404,This model is unavailable for free. The paid version is available now - use this slug instead: meta-llama/llama-3.2-3b-instruct,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
meta-llama/llama-3.3-70b-instruct:free,FAILED,404,This model is unavailable for free. The paid version is available now - use this slug instead: meta-llama/llama-3.3-70b-instruct,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
meta/muse-glimmer-30b,FAILED,400,"模型 meta/muse-glimmer-30b 的价格未配置。请前往「系统设置 → 运营设置」开启自用模式，或在「系统设置 → 分组与模型定价设置」中为该模型配置价格；Model meta/muse-glimmer-30b price not configured. Go to System Settings → Operation Settings to enable self-use mode, or configure the model price in System Settings → Group & Model Pricing. (request id: 202608110921173065523198268d9d6hiGEfCgZ)",UNSUPPORTED_BY_SDKMAX,text|vision,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,"Model is exposed to the test list but SDKMAX pricing is not configured, so the SDKMAX call path rejects it before a normal successful response."
meta/muse-spark-1.1,FAILED,403,"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://***.ai/***/*** ({""missing_attestation_types"":[""age_18plus""],""provider_name"":null})",AUTH_ERROR,text|vision|audio,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Provider requires account/attestation action before use.
meta/muse-spark-1.2,FAILED,403,"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://***.ai/***/*** ({""missing_attestation_types"":[""age_18plus""],""provider_name"":null})",AUTH_ERROR,text|vision|audio,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Provider requires account/attestation action before use.
minimax/minimax-m3:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
mistralai/devstral-2512,FAILED,404,"The free Devstral 2 2512 period has ended. To continue using this model, please migrate to the paid slug: mistralai/devstral-2512",MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
mistralai/voxtral-small-24b-2507,FAILED,400,"Provider returned error ({""raw"":""{\""object\"":\""error\"",\""message\"":\""top_p must be 1 when using greedy sampling.\"",\""type\"":\""invalid_request_greedy_sampling\"",\""param\"":null,\""code\"":\""3054\"",\""raw_status_code\"":400}"",""provider_name"":""Mistral"",""is_byok"":false})",WRONG_PAYLOAD,text|audio,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,false,true,true,"Failure is caused by test payload/parameter choice, not proven model unavailability."
moonshotai/kimi-k2.7-code:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
nousresearch/hermes-3-llama-3.1-405b:free,FAILED,404,This model is unavailable for free. The paid version is available now - use this slug instead: nousresearch/hermes-3-llama-3.1-405b,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
nvidia/llama-3.3-nemotron-super-49b-v1.5,FAILED,404,No endpoints found for nvidia/llama-3.3-nemotron-super-49b-v1.5.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
nvidia/nemotron-3-ultra-550b-a55b:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
nvidia/nemotron-nano-12b-v2-vl:free,FAILED,,TimeoutError('The read operation timed out'),TIMEOUT,text|vision,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,false,true,true,Read timeout or transport timeout during the test.
openai/gpt-3.5-turbo:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4-turbo-preview,FAILED,404,"Provider returned error ({""raw"":""{\n    \""error\"": {\n        \""message\"": \""The model `gpt-4-turbo-preview` does not exist or you do not have access to it.\"",\n        \""type\"": \""invalid_request_error\"",\n        \""param\"": null,\n        \""code\"": \""model_not_found\""\n    }\n}\n"",""provider_name"":""OpenAI"",""is_byok"":false,""provider_error_code"":""model_not_found""})",MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
openai/gpt-4-turbo:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4.1-mini:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4.1-nano:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4.1:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4o-mini-search-preview,FAILED,404,No endpoints found for openai/gpt-4o-mini-search-preview.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-4o-mini:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-4o-search-preview,FAILED,404,No endpoints found for openai/gpt-4o-search-preview.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-4o:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5-chat,FAILED,404,No endpoints found for openai/gpt-5-chat.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-5-codex,FAILED,404,No endpoints found for openai/gpt-5-codex.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-5-codex:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5-mini:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5-nano:batch,FAILED,,"URLError(FileNotFoundError(2, 'No such file or directory'))",BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.1-chat,FAILED,404,No endpoints found for openai/gpt-5.1-chat.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-5.1:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.2-chat,FAILED,400,"Provider returned error ({""raw"":""{\n  \""error\"": {\n    \""type\"": \""invalid_request_error\"",\n    \""code\"": \""BadRequestForDependentService\"",\n    \""message\"": \""Bad request for dependent service.\""\n  }\n}"",""provider_name"":""Azure"",""is_byok"":false,""provider_error_code"":""BadRequestForDependentService""})",UPSTREAM_ERROR,text|vision,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Provider/upstream returned an error under the tested SDKMAX route.
openai/gpt-5.2-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.2:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.3-chat,FAILED,404,No endpoints found for openai/gpt-5.3-chat.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
openai/gpt-5.4-mini:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.4-nano:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.4-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.4:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.5-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.6-luna-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.6-luna:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
openai/gpt-5.6-sol-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
